time	temp	oxy	light	PST
1510247400	1.299661	11.490476	165.2409	11/9/2017 9:10
1510248000	1.266589	11.497539	180.2628	11/9/2017 9:20
1510248600	1.244525	11.508346	205.2993	11/9/2017 9:30
1510249200	1.266589	11.515804	250.365	11/9/2017 9:40
1510249800	1.266589	11.515804	170.2482	11/9/2017 9:50
1510250400	1.266589	11.5341	205.2993	11/9/2017 10:00
1510251000	1.299661	11.517872	320.4672	11/9/2017 10:10
1510251600	1.332704	11.510817	310.4526	11/9/2017 10:20
1510252200	1.354718	11.509171	145.2117	11/9/2017 10:30
1510252800	1.365721	11.503784	95.1387	11/9/2017 10:40
1510253400	1.37672	11.489276	165.2409	11/9/2017 10:50
1510254000	1.343713	11.496295	270.3942	11/9/2017 11:00
1510254600	1.255559	11.493816	460.6716	11/9/2017 11:10
1510255200	1.28864	11.504998	580.8468	11/9/2017 11:20
1510255800	1.321693	11.497943	686.0001	11/9/2017 11:30
1510256400	1.343713	11.487172	590.8614	11/9/2017 11:40
1510257000	1.354718	11.518312	716.0439	11/9/2017 11:50
1510257600	1.409699	11.491399	585.8541	11/9/2017 12:00
1510258200	1.43167	11.489785	305.4453	11/9/2017 12:10
1510258800	1.442651	11.484419	210.3066	11/9/2017 12:20
1510259400	1.453628	11.488178	250.365	11/9/2017 12:30
1510260000	1.464603	11.464594	245.3577	11/9/2017 12:40
1510260600	1.453628	11.488178	220.3212	11/9/2017 12:50
1510261200	1.442651	11.457095	245.3577	11/9/2017 13:00
1510261800	1.442651	11.475303	310.4526	11/9/2017 13:10
1510262400	1.442651	11.457095	250.365	11/9/2017 13:20
1510263000	1.420686	11.476913	300.438	11/9/2017 13:30
1510263600	1.409699	11.473166	265.3869	11/9/2017 13:40
1510264200	1.409699	11.46406	300.438	11/9/2017 13:50
1510264800	1.398709	11.478531	270.3942	11/9/2017 14:00
1510265400	1.365721	11.467311	300.438	11/9/2017 14:10
1510266000	1.299661	11.508732	415.6059	11/9/2017 14:20
1510266600	1.299661	11.517872	480.7008	11/9/2017 14:30
1510267200	1.321693	11.525359	520.7592	11/9/2017 14:40
1510267800	1.332704	11.501682	505.7373	11/9/2017 14:50
1510268400	1.365721	11.531219	605.8833	11/9/2017 15:00
1510269000	1.409699	11.509663	731.0658	11/9/2017 15:10
1510269600	1.442651	11.484419	610.8906	11/9/2017 15:20
1510270200	1.464603	11.491941	500.73	11/9/2017 15:30
1510270800	1.464603	11.491941	320.4672	11/9/2017 15:40
1510271400	1.475575	11.504842	245.3577	11/9/2017 15:50
1510272000	1.475575	11.48658	150.219	11/9/2017 16:00
1510272600	1.475575	11.495707	70.1022	11/9/2017 16:10
1510273200	1.475575	11.477461	55.0803	11/9/2017 16:20
1510273800	1.475575	11.459247	25.0365	11/9/2017 16:30
1510274400	1.475575	11.46835	10.0146	11/9/2017 16:40
1510275000	1.475575	11.46835	5.0073	11/9/2017 16:50
1510275600	1.486543	11.47211	0	11/9/2017 17:00
1510276200	1.475575	11.48658	0	11/9/2017 17:10
1510276800	1.464603	11.482818	0	11/9/2017 17:20
1510277400	1.464603	11.501071	0	11/9/2017 17:30
1510278000	1.464603	11.473702	0	11/9/2017 17:40
1510278600	1.475575	11.48658	0	11/9/2017 17:50
1510279200	1.475575	11.477461	0	11/9/2017 18:00
1510279800	1.475575	11.46835	0	11/9/2017 18:10
1510280400	1.475575	11.48658	0	11/9/2017 18:20
1510281000	1.475575	11.504842	0	11/9/2017 18:30
1510281600	1.475575	11.48658	0	11/9/2017 18:40
1510282200	1.475575	11.477461	0	11/9/2017 18:50
1510282800	1.475575	11.495707	0	11/9/2017 19:00
1510283400	1.475575	11.48658	0	11/9/2017 19:10
1510284000	1.486543	11.463002	0	11/9/2017 19:20
1510284600	1.486543	11.47211	0	11/9/2017 19:30
1510285200	1.497509	11.484991	0	11/9/2017 19:40
1510285800	1.497509	11.475873	0	11/9/2017 19:50
1510286400	1.497509	11.494118	0	11/9/2017 20:00
1510287000	1.497509	11.494118	0	11/9/2017 20:10
1510287600	1.508471	11.470526	0	11/9/2017 20:20
1510288200	1.519431	11.483411	0	11/9/2017 20:30
1510288800	1.519431	11.483411	0	11/9/2017 20:40
1510289400	1.519431	11.483411	0	11/9/2017 20:50
1510290000	1.519431	11.483411	0	11/9/2017 21:00
1510290600	1.519431	11.483411	0	11/9/2017 21:10
1510291200	1.530387	11.468949	0	11/9/2017 21:20
1510291800	1.530387	11.468949	0	11/9/2017 21:30
1510292400	1.530387	11.478063	0	11/9/2017 21:40
1510293000	1.54134	11.47272	0	11/9/2017 21:50
1510293600	1.54134	11.463611	0	11/9/2017 22:00
1510294200	1.552291	11.467382	0	11/9/2017 22:10
1510294800	1.552291	11.476495	0	11/9/2017 22:20
1510295400	1.552291	11.467382	0	11/9/2017 22:30
1510296000	1.563238	11.452947	0	11/9/2017 22:40
1510296600	1.563238	11.471157	0	11/9/2017 22:50
1510297200	1.574182	11.456718	0	11/9/2017 23:00
1510297800	1.574182	11.465823	0	11/9/2017 23:10
1510298400	1.574182	11.465823	0	11/9/2017 23:20
1510299000	1.585123	11.451392	0	11/9/2017 23:30
1510299600	1.585123	11.460493	0	11/9/2017 23:40
1510300200	1.585123	11.460493	0	11/9/2017 23:50
1510300800	1.585123	11.451392	0	11/10/2017 0:00
1510301400	1.585123	11.424136	0	11/10/2017 0:10
1510302000	1.574182	11.447621	0	11/10/2017 0:20
1510302600	1.563238	11.452947	0	11/10/2017 0:30
1510303200	1.552291	11.440089	0	11/10/2017 0:40
1510303800	1.54134	11.463611	0	11/10/2017 0:50
1510304400	1.530387	11.468949	0	11/10/2017 1:00
1510305000	1.530387	11.468949	0	11/10/2017 1:10
1510305600	1.530387	11.478063	0	11/10/2017 1:20
1510306200	1.54134	11.481837	0	11/10/2017 1:30
1510306800	1.563238	11.462047	0	11/10/2017 1:40
1510307400	1.563238	11.471157	0	11/10/2017 1:50
1510308000	1.574182	11.465823	0	11/10/2017 2:00
1510308600	1.574182	11.438531	0	11/10/2017 2:10
1510309200	1.585123	11.433214	0	11/10/2017 2:20
1510309800	1.585123	11.460493	0	11/10/2017 2:30
1510310400	1.596061	11.455168	0	11/10/2017 2:40
1510311000	1.596061	11.446071	0	11/10/2017 2:50
1510311600	1.596061	11.455168	0	11/10/2017 3:00
1510312200	1.596061	11.446071	0	11/10/2017 3:10
1510312800	1.585123	11.451392	0	11/10/2017 3:20
1510313400	1.585123	11.433214	0	11/10/2017 3:30
1510314000	1.574182	11.438531	0	11/10/2017 3:40
1510314600	1.552291	11.440089	0	11/10/2017 3:50
1510315200	1.54134	11.445414	0	11/10/2017 4:00
1510315800	1.519431	11.446985	0	11/10/2017 4:10
1510316400	1.508471	11.45232	0	11/10/2017 4:20
1510317000	1.497509	11.466762	0	11/10/2017 4:30
1510317600	1.475575	11.477461	0	11/10/2017 4:40
1510318200	1.464603	11.464594	0	11/10/2017 4:50
1510318800	1.442651	11.484419	0	11/10/2017 5:00
1510319400	1.43167	11.480664	0	11/10/2017 5:10
1510320000	1.420686	11.486029	0	11/10/2017 5:20
1510320600	1.398709	11.487649	0	11/10/2017 5:30
1510321200	1.387716	11.483901	0	11/10/2017 5:40
1510321800	1.365721	11.494654	0	11/10/2017 5:50
1510322400	1.354718	11.500037	0	11/10/2017 6:00
1510323000	1.343713	11.496295	0	11/10/2017 6:10
1510323600	1.332704	11.501682	0	11/10/2017 6:20
1510324200	1.321693	11.507074	0	11/10/2017 6:30
1510324800	1.310678	11.51247	0	11/10/2017 6:40
1510325400	1.299661	11.517872	5.0073	11/10/2017 6:50
1510326000	1.299661	11.536173	15.0219	11/10/2017 7:00
1510326600	1.28864	11.532427	40.0584	11/10/2017 7:10
1510327200	1.28864	11.541586	85.1241	11/10/2017 7:20
1510327800	1.277616	11.537841	165.2409	11/10/2017 7:30
1510328400	1.277616	11.547004	205.2993	11/10/2017 7:40
1510329000	1.277616	11.537841	250.365	11/10/2017 7:50
1510329600	1.28864	11.541586	375.5475	11/10/2017 8:00
1510330200	1.299661	11.545335	530.7738	11/10/2017 8:10
1510330800	1.310678	11.558262	731.0658	11/10/2017 8:20
1510331400	1.332704	11.547431	896.3067	11/10/2017 8:30
1510332000	1.365721	11.540379	906.3213	11/10/2017 8:40
1510332600	1.387716	11.547912	600.876	11/10/2017 8:50
1510333200	1.409699	11.527959	555.8103	11/10/2017 9:00
1510333800	1.420686	11.513426	550.803	11/10/2017 9:10
1510334400	1.442651	11.52096	630.9198	11/10/2017 9:20
1510335000	1.464603	11.51021	726.0585	11/10/2017 9:30
1510335600	1.486543	11.51776	761.1096	11/10/2017 9:40
1510336200	1.508471	11.488761	675.9855	11/10/2017 9:50
1510336800	1.54134	11.490963	675.9855	11/10/2017 10:00
1510337400	1.552291	11.494745	821.1972	11/10/2017 10:10
1510338000	1.585123	11.496974	816.1899	11/10/2017 10:20
1510338600	1.606996	11.468055	876.2775	11/10/2017 10:30
1510339200	1.617929	11.471842	956.3943	11/10/2017 10:40
1510339800	1.628858	11.466517	1046.5257	11/10/2017 10:50
1510340400	1.628858	11.457409	1061.5476	11/10/2017 11:00
1510341000	1.585123	11.662677	1106.6133	11/10/2017 11:10
1510341600	7.644661	10.006881	0	11/10/2017 11:20
1510342200	10.108964	9.395567	0	11/10/2017 11:30
